,Query,A,B,C,ID_ABC,ID_AB,ID_A,ID
0,国民年金の免除申請をしたいのですが、申請に必要な持ち物は何を持っていけば良いですか？,71 87,469,36,"['71', '87', '469', '36']","['71', '87', '469']","['71', '87']","['71', '87', '469', '36']"
1,忍たま乱太郎の施設などはオープンしないのですか,,1770 1769,,"['1770', '1769']","['1770', '1769']",[],"['1770', '1769']"
2,人口が伸び悩む尼崎市ですが、明石市の様な子ども医療費助成を取り入れる計画はありますか？,,,593 375,"['593', '375']",[],[],"['593', '375']"
3,戸籍謄本の発行をして欲しいのですが、代金はいくらかかかりますか？,119 386,,19 1131 883 42,"['119', '386', '19', '1131', '883', '42']","['119', '386']","['119', '386']","['119', '386', '19', '1131', '883', '42']"
4,原付の登録をしようと思っています。登録にかかる料金と必要な持ち物が知りたいので教えてください。,191,32 73,192,"['191', '32', '73', '192']","['191', '32', '73']",['191'],"['191', '32', '73', '192']"
5,センタープールのファン送迎バスはどの駅から出ていますか,1352,,,['1352'],['1352'],['1352'],['1352']
6,正直言って、尼崎市のイメージは良くないと思うのですが、市のブランドイメージ向上の為の具体的な施策はありますか？,628 1782,7 43 278 456,,"['628', '1782', '7', '43', '278', '456']","['628', '1782', '7', '43', '278', '456']","['628', '1782']","['628', '1782', '7', '43', '278', '456']"
7,飲食店を始めるにあたって、食品衛生関係の手続きをしたいのですが、どの窓口に行けばいいでしょうか。,1058,1521 378 1679,,"['1058', '1521', '378', '1679']","['1058', '1521', '378', '1679']",['1058'],"['1058', '1521', '378', '1679']"
8,国民健康保険証を紛失してしまったので、再発行に必要な持ち物とお金がいくらかかるか教えてくれませんか？,155,,209,"['155', '209']",['155'],['155'],"['155', '209']"
9,失業してから数ヶ月間仕事が見つからないので、生活保護の申請を考えています。対応窓口の営業時間と生活保護の申請に必要なものを教えて頂けないでしょうか？,298,,,['298'],['298'],['298'],['298']
10,国民年金の付加納付をしたいのですが、どのように手続きすればいいのか教えてください。,,469,314,"['469', '314']",['469'],[],"['469', '314']"
11,マイナンバーカードを失くしてしまって困っているのですが、相談に乗っている窓口と営業時間を教えてください。,,902 969,,"['902', '969']","['902', '969']",[],"['902', '969']"
12,昨日急に家族が亡くなったのですが、どのような手続きをすればいいのか分かりません。まずは何をすればいいのか教えて欲しいです。,,20 1407,488 193 505 102,"['20', '1407', '488', '193', '505', '102']","['20', '1407']",[],"['20', '1407', '488', '193', '505', '102']"
13,母子健康手帳を発行して頂きたいのですが、手続きには何が必要ですか？,370 306,,594 733 659 716,"['370', '306', '594', '733', '659', '716']","['370', '306']","['370', '306']","['370', '306', '594', '733', '659', '716']"
14,国民年金の納付書を誤って捨ててしまいました。どうしたらいいでしょうか？,985,,,['985'],['985'],['985'],['985']
15,新築住宅を購入することを考えているのですが、減額措置について教えて欲しいです。,237 1747,,,"['237', '1747']","['237', '1747']","['237', '1747']","['237', '1747']"
16,図書館で借りた本が、多忙で期限内に返せませんでした。何か手続きは必要でしょうか？,,842 1123,1472 1279 1172 1135 179 1389 109,"['842', '1123', '1472', '1279', '1172', '1135', '179', '1389', '109']","['842', '1123']",[],"['842', '1123', '1472', '1279', '1172', '1135', '179', '1389', '109']"
17,臨時福祉給付金の申請を忘れていたのですが、１日でも期限を過ぎるともうもらえないのでしょうか？,1260,,,['1260'],['1260'],['1260'],['1260']
18,転出証明書の発行をしたいと思っているのですが、料金はいくらかかりますか？,204,121 1270,8,"['204', '121', '1270', '8']","['204', '121', '1270']",['204'],"['204', '121', '1270', '8']"
19,先月会社を自己都合で退職しました。雇用保険の手続きをするにはどうしたらいいですか？,1223 1277,,,"['1223', '1277']","['1223', '1277']","['1223', '1277']","['1223', '1277']"
20,遠くに住んでいる友人に尼崎市の特産品を送りたいのですが、特産品を扱っているお店や通販ショップなどはありますか？,628,258 244 1618,,"['628', '258', '244', '1618']","['628', '258', '244', '1618']",['628'],"['628', '258', '244', '1618']"
21,海外から引っ越してきて、犬を飼っているのですが登録はどのようにすればいいですか？,514 1499,1134 1331,503,"['514', '1499', '1134', '1331', '503']","['514', '1499', '1134', '1331']","['514', '1499']","['514', '1499', '1134', '1331', '503']"
22,最近尼崎市に引越しをしてきたばかりでゴミの分別方法が良く分かりません。ゴミ分別の詳細を教えて欲しいです。,1784,3,,"['1784', '3']","['1784', '3']",['1784'],"['1784', '3']"
23,尼崎中央図書館の異臭はどうにかなりませんか,,620 109,,"['620', '109']","['620', '109']",[],"['620', '109']"
24,塚口さんさんタウンの老朽化が著しく、再開発が計画されていると聞きましたが、再開発計画と日程について教えて下さい。,,1164,,['1164'],['1164'],[],['1164']
25,お隣の西宮市では人口が増加していますが、尼崎市は人口流出が止まりません。市としての人口流出対策について聞かせて下さい。,,,1195 1777,"['1195', '1777']",[],[],"['1195', '1777']"
26,尼崎市の主要幹線道路である国道２号線､４３号線共にとても交通量が多く混み合いますが、市として、何か交通緩和策を計画していますか？,1142,1242,,"['1142', '1242']","['1142', '1242']",['1142'],"['1142', '1242']"
27,尼崎城は常時イベントなどは行う予定でしょうか,1723 1420,1620 915 1685 1563 1504 1366,,"['1723', '1420', '1620', '915', '1685', '1563', '1504', '1366']","['1723', '1420', '1620', '915', '1685', '1563', '1504', '1366']","['1723', '1420']","['1723', '1420', '1620', '915', '1685', '1563', '1504', '1366']"
28,市全体として緑が少なく、自然に触れ合える場所が殆どありません。市民が気軽に自然に触れ合える公園や施設を建設する予定はありますか？,1251,,861,"['1251', '861']",['1251'],['1251'],"['1251', '861']"
29,国民健康保険の金額を調べたい,,700 783 1599,,"['700', '783', '1599']","['700', '783', '1599']",[],"['700', '783', '1599']"
30,年金の支払い状況を確認したい,,834,667 354,"['834', '667', '354']",['834'],[],"['834', '667', '354']"
31,尼崎城天守再建工事は安保詮氏の私財寄付以外に税金も投入されるのですか？,,1674 1636 1723,1504 1366,"['1674', '1636', '1723', '1504', '1366']","['1674', '1636', '1723']",[],"['1674', '1636', '1723', '1504', '1366']"
32,子供食堂などのサービスはありますか,,111 956,,"['111', '956']","['111', '956']",[],"['111', '956']"
33,尼崎市の生活保護受給者数を教えて下さい。また、その内、外国籍は何人居ますか？,,298,,['298'],['298'],[],['298']
34,尼崎城が近々、完成しますが、市として尼崎城をどう活用していくのか教えて下さい。,1420,1723 1620 1685 915,1586 1504 1674 1636 1366,"['1420', '1723', '1620', '1685', '915', '1586', '1504', '1674', '1636', '1366']","['1420', '1723', '1620', '1685', '915']",['1420'],"['1420', '1723', '1620', '1685', '915', '1586', '1504', '1674', '1636', '1366']"
35,尼崎市にはＪＲ､阪急､阪神が走っており、東西の移動は容易ですが、逆に南北の移動が発展してないと思います。その点も含めた、市の今後の交通計画を教えて下さい。,,875,,['875'],['875'],[],['875']
36,国道４３号線周辺の公害問題は長年の課題ですが、今後の市の取り組み及び対策を教えて下さい。,1242 1142,934,,"['1242', '1142', '934']","['1242', '1142', '934']","['1242', '1142']","['1242', '1142', '934']"
37,住民票は市役所以外でもらえますか,213,62 150 396 517,447,"['213', '62', '150', '396', '517', '447']","['213', '62', '150', '396', '517']",['213'],"['213', '62', '150', '396', '517', '447']"
38,ゴミ袋はずっと透明のままでしょうか,,,1784,['1784'],[],[],['1784']
39,５０メートルプールがあるプールを教えてください,,,318 590 1039,"['318', '590', '1039']",[],[],"['318', '590', '1039']"
40,尼崎スポーツの森のプールは夏しか使えないのですか,,1569,,['1569'],['1569'],[],['1569']
41,尼崎市の治安は他の街と比べてどの程度なのでしょうか？,,1753 1379,,"['1753', '1379']","['1753', '1379']",[],"['1753', '1379']"
42,尼崎市には市民病院があるのでしょうか？,1036,,,['1036'],['1036'],['1036'],['1036']
43,尼崎市の市営住宅の平均倍率を教えてください。,,,337 50 172,"['337', '50', '172']",[],[],"['337', '50', '172']"
44,尼崎市には保育園はいくつあるのでしょうか？,,490 200 908 1225 674,1207 1445 790,"['490', '200', '908', '1225', '674', '1207', '1445', '790']","['490', '200', '908', '1225', '674']",[],"['490', '200', '908', '1225', '674', '1207', '1445', '790']"
45,認知症介護相談窓口はありますか？,1157,1264 973 1376 1073,9 108,"['1157', '1264', '973', '1376', '1073', '9', '108']","['1157', '1264', '973', '1376', '1073']",['1157'],"['1157', '1264', '973', '1376', '1073', '9', '108']"
46,尼崎市の市民税はいくらになるのか教えてください,522,178 22 954 95 770 773 385,678 331,"['522', '178', '22', '954', '95', '770', '773', '385', '678', '331']","['522', '178', '22', '954', '95', '770', '773', '385']",['522'],"['522', '178', '22', '954', '95', '770', '773', '385', '678', '331']"
47,国民健康保険料の算出は、自治体によって計算方法が異なりますが、尼崎市は何割方式を用いていますか？,634,740 997 700 1013 964 736,,"['634', '740', '997', '700', '1013', '964', '736']","['634', '740', '997', '700', '1013', '964', '736']",['634'],"['634', '740', '997', '700', '1013', '964', '736']"
48,尼崎市議会の政党構成について詳細を教えて下さい。,1343 825,453,,"['1343', '825', '453']","['1343', '825', '453']","['1343', '825']","['1343', '825', '453']"
49,尼崎市には自立支援制度はありますか？,454 411,,536,"['454', '411', '536']","['454', '411']","['454', '411']","['454', '411', '536']"
50,尼崎市には高額医療補助の制度はありますか？,557,,,['557'],['557'],['557'],['557']
51,尼崎市のご当地グルメや名産品が思い浮かびません。もし有るなら、教えて下さい。,628,,1618,"['628', '1618']",['628'],['628'],"['628', '1618']"
52,シングルマザーに対する支援は充実していますか,,23 1497,61,"['23', '1497', '61']","['23', '1497']",[],"['23', '1497', '61']"
53,駅や地域の不審者情報についての注意喚起を、もっとポスターや、看板など（その場所を利用する人に向けて）でしてほしいのですがどこにお願いしたらいいのですか？,,1379 186,,"['1379', '186']","['1379', '186']",[],"['1379', '186']"
54,レンタサイクルが可能な駅はありますか,,1773,,['1773'],['1773'],[],['1773']
55,市民農園は在学・在勤者は利用できないのですか,315,,316,"['315', '316']",['315'],['315'],"['315', '316']"
56,ベッドマットなど大型家具の処分をしたいのですが、回収場所まで運べません。どうしたらいいのでしょうか？,,210,,['210'],['210'],[],['210']
57,尼崎市記念公園のスポーツ施設もかなり古くなって来ていますが、施設建て替え等の計画はありますか？,,1742 1769 1770,,"['1742', '1769', '1770']","['1742', '1769', '1770']",[],"['1742', '1769', '1770']"
58,飛び入りでトレーニングルームの使用はできますか,,1776 1262,,"['1776', '1262']","['1776', '1262']",[],"['1776', '1262']"
59,親が認知症初期（介護認定無し）で尼崎市に独居しています、子供は皆遠方に住んでいるため心配なのですが、見守り制度などはあるのでしょうか？,1157,,1264,"['1157', '1264']",['1157'],['1157'],"['1157', '1264']"
60,マイナンバーカードを使った、コンビニで住民票などを取得できるシステムを使ってみたのですが、思いのほか難しすぎました。もう少し簡単にはならないでしょうか？,,1555,,['1555'],['1555'],[],['1555']
61,発達障害者に対する支援や取り組みなどはありますか,1736,162 1396 389 236,407 1238,"['1736', '162', '1396', '389', '236', '407', '1238']","['1736', '162', '1396', '389', '236']",['1736'],"['1736', '162', '1396', '389', '236', '407', '1238']"
62,ふるさと納税の特典としてどのようなものがありますか,65 189,,,"['65', '189']","['65', '189']","['65', '189']","['65', '189']"
63,マイナンバーカードを作りたいのですが、郵送後どのくらいで出来たものが発送されますか？,,,576 969,"['576', '969']",[],[],"['576', '969']"
64,母親の介護申請をしたいのですが、まずどこに行って手続きをすればよいのでしょうか？,9,108,,"['9', '108']","['9', '108']",['9'],"['9', '108']"
65,尼崎市内通勤・通学者に対する特典や優遇措置などはありますか,,179,,['179'],['179'],[],['179']
66,再建される尼崎城を、生かしたまちづくりは、どのようにお考えでしょうか。,1723,1685 1620 1550,1504 1586 1674,"['1723', '1685', '1620', '1550', '1504', '1586', '1674']","['1723', '1685', '1620', '1550']",['1723'],"['1723', '1685', '1620', '1550', '1504', '1586', '1674']"
67,失業して収入が減ったけど、国民健康保険料は安くならないんですか？,964,1065 1034 1013 235 700,634,"['964', '1065', '1034', '1013', '235', '700', '634']","['964', '1065', '1034', '1013', '235', '700']",['964'],"['964', '1065', '1034', '1013', '235', '700', '634']"
68,戸籍抄本を発行して頂きたいのですが、手続きに必要な物は何でしょうか？,119,656,386 19 1131,"['119', '656', '386', '19', '1131']","['119', '656']",['119'],"['119', '656', '386', '19', '1131']"
69,尼崎城に関するパンフレットを友人に送りたいのですが、送っていただくことは出来ますか？,,1420 1723 1586,,"['1420', '1723', '1586']","['1420', '1723', '1586']",[],"['1420', '1723', '1586']"
70,直系尊属という言葉の意味が良くわからないので教えて欲しいです。,,70,,['70'],['70'],[],['70']
71,現在、就職支援をしているイベントは開催していますか？,454 1219 429,,,"['454', '1219', '429']","['454', '1219', '429']","['454', '1219', '429']","['454', '1219', '429']"
72,これから会社を立ち上げたいのですが、尼崎市では補助金などありますか？,251,,,['251'],['251'],['251'],['251']
73,食品の放射性物質の検査は、どのようにして行なわれていますか？,,1521,,['1521'],['1521'],[],['1521']
74,所得証明書（課税・非課税）は最速で、何月何日から発行できますか？,35,137,99 10 412 64 124,"['35', '137', '99', '10', '412', '64', '124']","['35', '137']",['35'],"['35', '137', '99', '10', '412', '64', '124']"
75,尼崎市の名産品を知人に贈りたいのですが、なにか良いものはないですか？,628,1618 854,258,"['628', '1618', '854', '258']","['628', '1618', '854']",['628'],"['628', '1618', '854', '258']"
76,尼崎外の政治団体が尼崎城へ寄付することは可能ですか,1674,1636 1366 1723,1620 1504,"['1674', '1636', '1366', '1723', '1620', '1504']","['1674', '1636', '1366', '1723']",['1674'],"['1674', '1636', '1366', '1723', '1620', '1504']"
77,尼崎市で評判の良い隠れた観光地を教えて欲しいです。,359,,,['359'],['359'],['359'],['359']
78,尼崎に住んでいると言うと、尼崎って、治安が悪そうと良く言われるのですが、実際の所、尼崎市の犯罪率はどうなのか、教えて下さい。,,1753,,['1753'],['1753'],[],['1753']
79,昨年の収入が３００万程だったのですが、今年の国民健康保険料はいくらいになりますか？,,1013,740 700 235 964,"['1013', '740', '700', '235', '964']",['1013'],[],"['1013', '740', '700', '235', '964']"
80,尼崎城周辺に商業施設などの建設予定はありますか,,1723 1420,1586,"['1723', '1420', '1586']","['1723', '1420']",[],"['1723', '1420', '1586']"
81,戸籍謄本の取得金額は、種類によって金額が違うのは何故ですか？,,,119 386 883,"['119', '386', '883']",[],[],"['119', '386', '883']"
82,市役所年金課と年金事務所は何故つながっていないのですか？,,469 642,,"['469', '642']","['469', '642']",[],"['469', '642']"
83,特別養護老人ホームなどの入所施設を利用するにはどのような手続きが必要ですか,,67,,['67'],['67'],[],['67']
84,市営住宅に入居を希望するのですが、入居条件を教えて下さい。,50 172,337,,"['50', '172', '337']","['50', '172', '337']","['50', '172']","['50', '172', '337']"
85,市運営のデイサービスを利用出来る条件と料金を教えて下さい。,,9,,['9'],['9'],[],['9']
86,住民票の写しは郵送してもらえますか？,62,396,447 444 213,"['62', '396', '447', '444', '213']","['62', '396']",['62'],"['62', '396', '447', '444', '213']"
87,粗大ごみの出し方を教えて下さい。,1784,210 1391 3,,"['1784', '210', '1391', '3']","['1784', '210', '1391', '3']",['1784'],"['1784', '210', '1391', '3']"
88,当市の緑の基本計画に関して教えて下さい。,1251,,,['1251'],['1251'],['1251'],['1251']
89,住宅を建てたいので、土地の用途地域を確認したいのですが、どの部署に問い合わせれば良いですか？,461 852,334 771,,"['461', '852', '334', '771']","['461', '852', '334', '771']","['461', '852']","['461', '852', '334', '771']"
90,電子ピアノはどうやって捨てれば良いのか？,1784,,,['1784'],['1784'],['1784'],['1784']
91,しつこい訪問販売について、何か自治体で対策をとっているようなことがあるのでしょうか？,,353 163,,"['353', '163']","['353', '163']",[],"['353', '163']"
92,実印登録に費用は掛かりますか？,5 582,,573 529 89,"['5', '582', '573', '529', '89']","['5', '582']","['5', '582']","['5', '582', '573', '529', '89']"
93,引越しした際の手続きはいつするべきか？,2 138 8,199 33 24,671 503 1331 380,"['2', '138', '8', '199', '33', '24', '671', '503', '1331', '380']","['2', '138', '8', '199', '33', '24']","['2', '138', '8']","['2', '138', '8', '199', '33', '24', '671', '503', '1331', '380']"
94,独り暮らしで、大型のゴミを指定された場所に一人で持っていけない場合には、どうしたらいいのでしょうか？,,210,,['210'],['210'],[],['210']
95,市民税や固定資産税は市役所の窓口以外に、どこで支払いが可能ですか？,563 88 706,,,"['563', '88', '706']","['563', '88', '706']","['563', '88', '706']","['563', '88', '706']"
96,住民票を、ＤＶやストーカーの加害者に対して、開示しないようにしたい。,,1041 1597 1254,1215,"['1041', '1597', '1254', '1215']","['1041', '1597', '1254']",[],"['1041', '1597', '1254', '1215']"
97,隣人が認知症でひとり暮らしなので火災など色々不安です、どうしたらいいですか？,1157 240,1264 1073 1376 1441,,"['1157', '240', '1264', '1073', '1376', '1441']","['1157', '240', '1264', '1073', '1376', '1441']","['1157', '240']","['1157', '240', '1264', '1073', '1376', '1441']"
98,時間外窓口の場所を、教えてください。,153 213,,,"['153', '213']","['153', '213']","['153', '213']","['153', '213']"
99,大型ごみの手続きはどこに電話すればいいんでしたっけ？,1391,210 1784,,"['1391', '210', '1784']","['1391', '210', '1784']",['1391'],"['1391', '210', '1784']"
100,ゴミを捨てる時の分別方法は地域によって違いますか？,1784,,,['1784'],['1784'],['1784'],['1784']
101,害虫駆除は何が対象ですか？,1117 420 1185,1594 177,1293,"['1117', '420', '1185', '1594', '177', '1293']","['1117', '420', '1185', '1594', '177']","['1117', '420', '1185']","['1117', '420', '1185', '1594', '177', '1293']"
102,乾電池は、燃えないゴミで出してもいいのでしょうか？,1784,210,,"['1784', '210']","['1784', '210']",['1784'],"['1784', '210']"
103,バイクを売った時、税金の支払いに関する手続きは必要ですか？,242,167 74,192 92 148,"['242', '167', '74', '192', '92', '148']","['242', '167', '74']",['242'],"['242', '167', '74', '192', '92', '148']"
104,引っ越した時ってどんな手続きが必要ですか？,2 8 138,204,192 199 24 33 671 503 651,"['2', '8', '138', '204', '192', '199', '24', '33', '671', '503', '651']","['2', '8', '138', '204']","['2', '8', '138']","['2', '8', '138', '204', '192', '199', '24', '33', '671', '503', '651']"
105,害虫駆除はどれくらいお金がかかりますか？,,727 1185 1594 1612,1117 420 177,"['727', '1185', '1594', '1612', '1117', '420', '177']","['727', '1185', '1594', '1612']",[],"['727', '1185', '1594', '1612', '1117', '420', '177']"
106,家の軒下に、スズメバチが巣を作りました、相談できる窓口を、教えてください。,177,,,['177'],['177'],['177'],['177']
107,地域のイベントはどうやって確認できますか？,,256 496,,"['256', '496']","['256', '496']",[],"['256', '496']"
108,引っ越しをするときに必要な手続きを教えてください。,2 8 138,,294 671 199 24 651 33 192,"['2', '8', '138', '294', '671', '199', '24', '651', '33', '192']","['2', '8', '138']","['2', '8', '138']","['2', '8', '138', '294', '671', '199', '24', '651', '33', '192']"
109,家の屋根にスズメバチの巣があるんだけどどこに連絡したらいいんですか？,177,,,['177'],['177'],['177'],['177']
110,引っ越しの手数料はどのくらいかかりますか？,204 121,138,,"['204', '121', '138']","['204', '121', '138']","['204', '121']","['204', '121', '138']"
111,災害時の避難場所を知りたい。,203 106 130 147 295 312 382,,,"['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']"
112,税金の学生免除はどのように手続きを行えば良いですか？,36,,678,"['36', '678']",['36'],['36'],"['36', '678']"
113,市立中学校では給食の配給はありますか？,848 555,,,"['848', '555']","['848', '555']","['848', '555']","['848', '555']"
114,家にハチの巣ができたので取ってほしい。,177,,,['177'],['177'],['177'],['177']
115,大型ゴミに該当するものを教えて欲しいです。,1784,210,,"['1784', '210']","['1784', '210']",['1784'],"['1784', '210']"
116,ふるさと納税のやり方を教えて下さい。,65 189,,,"['65', '189']","['65', '189']","['65', '189']","['65', '189']"
117,１８歳以下の子供に対する医療費助成制度はありますか？,593 375 565,,,"['593', '375', '565']","['593', '375', '565']","['593', '375', '565']","['593', '375', '565']"
118,近所でイノシシなどを見かけたときはどこに連絡したらいいですか？,838,,,['838'],['838'],['838'],['838']
119,介護サービスを使いたいけど、何ができるのかわかりません,9 108 69,,,"['9', '108', '69']","['9', '108', '69']","['9', '108', '69']","['9', '108', '69']"
120,これから猫を飼うんですが、何か手続きは必要ですか？,,1134,1110,"['1134', '1110']",['1134'],[],"['1134', '1110']"
121,市役所で就職相談はしていますか？,429 955,,,"['429', '955']","['429', '955']","['429', '955']","['429', '955']"
122,介護サービスを使いたいので、近くの事業所などを教えてほしい。,108,9,72 33 24,"['108', '9', '72', '33', '24']","['108', '9']",['108'],"['108', '9', '72', '33', '24']"
123,ベランダのプランターの上に、鳩が卵を産んでしまいました。毎日親鳥はお世話をしにやってきますが、洗濯物などが汚れて困っています。駆除をしたいのですがどうすればいいのでしょうか？,268,838 1293,,"['268', '838', '1293']","['268', '838', '1293']",['268'],"['268', '838', '1293']"
124,公園のトイレが匂うので掃除をしてほしい。,1243 1155,1230 1339,,"['1243', '1155', '1230', '1339']","['1243', '1155', '1230', '1339']","['1243', '1155']","['1243', '1155', '1230', '1339']"
125,電子レンジが壊れたんですが、燃えないごみとして出してもいいですか？,1784,,,['1784'],['1784'],['1784'],['1784']
126,街路樹の枝で信号が見えにくくなっていますが大丈夫でしょうか？,425,1273,,"['425', '1273']","['425', '1273']",['425'],"['425', '1273']"
127,犬を追加で２匹飼うんですが、何か手続きは必要ですか？,514 1499,,1134 503 877,"['514', '1499', '1134', '503', '877']","['514', '1499']","['514', '1499']","['514', '1499', '1134', '503', '877']"
128,ゴミ分別表を郵送して頂けますか？,,,1784,['1784'],[],[],['1784']
129,生活保護は本来、日本国民にのみ支給されるものですが、現状では在日外国人にも支給されています。それに対する、市の見解を聞かせて下さい。,,,243 298,"['243', '298']",[],[],"['243', '298']"
130,職場のパワハラ相談を受けている窓口はありますか？,285 743 926,937,,"['285', '743', '926', '937']","['285', '743', '926', '937']","['285', '743', '926']","['285', '743', '926', '937']"
131,住民票の発行にはいくらかかりますか？,447,,396 1426 517 150 62,"['447', '396', '1426', '517', '150', '62']",['447'],['447'],"['447', '396', '1426', '517', '150', '62']"
132,出生届はどこへ出せばいいのでしょうか？,831 889,,886 952,"['831', '889', '886', '952']","['831', '889']","['831', '889']","['831', '889', '886', '952']"
133,住宅街の道路の街灯が切れたらどこへ相談すればよいですか？,1170,1602 1062 1050,,"['1170', '1602', '1062', '1050']","['1170', '1602', '1062', '1050']",['1170'],"['1170', '1602', '1062', '1050']"
134,国民健康保険料の詳細を聞きたいです。,,997 1065 964,634 451 248 450 553 740 13 700 1013 1181,"['997', '1065', '964', '634', '451', '248', '450', '553', '740', '13', '700', '1013', '1181']","['997', '1065', '964']",[],"['997', '1065', '964', '634', '451', '248', '450', '553', '740', '13', '700', '1013', '1181']"
135,ゴミの分別方法を教えてください,1784,978 1391 3,63,"['1784', '978', '1391', '3', '63']","['1784', '978', '1391', '3']",['1784'],"['1784', '978', '1391', '3', '63']"
136,公園の遊具の安全性のチェックは、継続的にされているのでしょうか？,1230,,,['1230'],['1230'],['1230'],['1230']
137,年間のスポーツなどのイベント表があれば郵送して欲しいです。,1235,,603,"['1235', '603']",['1235'],['1235'],"['1235', '603']"
138,転入手続きの方法を教えてください,2,184 349,651 406 192,"['2', '184', '349', '651', '406', '192']","['2', '184', '349']",['2'],"['2', '184', '349', '651', '406', '192']"
139,マイナンバーカードを紛失した場合どうすればいいですか,,902,692 969,"['902', '692', '969']",['902'],[],"['902', '692', '969']"
140,障碍者手帳の発行方法を教えてください,,30,,['30'],['30'],[],['30']
141,転出届は郵送でできますか,8,121,204,"['8', '121', '204']","['8', '121']",['8'],"['8', '121', '204']"
142,休日に診察している病院を教えてください,28,,653,"['28', '653']",['28'],['28'],"['28', '653']"
143,所得証明はどうやって発行するんですか？,35,64 10,124 99 137,"['35', '64', '10', '124', '99', '137']","['35', '64', '10']",['35'],"['35', '64', '10', '124', '99', '137']"
144,住民票基本台帳はどこで閲覧できますか,,53 640,,"['53', '640']","['53', '640']",[],"['53', '640']"
145,生活保護の申請には何が必要ですか？,298,,243,"['298', '243']",['298'],['298'],"['298', '243']"
146,介護に関しての補助制度はありますか？,69 21,108 462,9,"['69', '21', '108', '462', '9']","['69', '21', '108', '462']","['69', '21']","['69', '21', '108', '462', '9']"
147,確定申告の詳細を教えてくれる部署を教えて欲しいです。,,731 133,,"['731', '133']","['731', '133']",[],"['731', '133']"
