,Query,A,B,C,ID_ABC,ID_AB,ID_A,ID
148,休日に印鑑登録できますか,42 89,,582 5 196 573,"['42', '89', '582', '5', '196', '573']","['42', '89']","['42', '89']","['42', '89', '582', '5', '196', '573']"
149,印鑑証明書が欲しいのですが何が必要でしょうか？,529,,213,"['529', '213']",['529'],['529'],"['529', '213']"
150,高齢者の雇用支援などはありますか,171,,429 830,"['171', '429', '830']",['171'],['171'],"['171', '429', '830']"
151,今年から幼稚園に就園したけど就園奨励補助金調書って自分で取に行くものなのか、通知が来るものなのか分からない。,681 1368,,,"['681', '1368']","['681', '1368']","['681', '1368']","['681', '1368']"
152,災害避難区域はどこで確認できますか,106 130 203,382,295 312 147,"['106', '130', '203', '382', '295', '312', '147']","['106', '130', '203', '382']","['106', '130', '203']","['106', '130', '203', '382', '295', '312', '147']"
153,公共交通機関をお得に乗れる情報を教えていただけますか？,1189 1552,,931,"['1189', '1552', '931']","['1189', '1552']","['1189', '1552']","['1189', '1552', '931']"
154,生活保護はどうすれば受けられますか？,298,243,755 878,"['298', '243', '755', '878']","['298', '243']",['298'],"['298', '243', '755', '878']"
155,飼っている犬がなくなったのですが、手続きは必要ですか？,1110,,1134 514,"['1110', '1134', '514']",['1110'],['1110'],"['1110', '1134', '514']"
156,生活保護はどこで受給できますか,298,,243,"['298', '243']",['298'],['298'],"['298', '243']"
157,引っ越したら何を何日までに手続きする必要があるのか知りたいです。,138 2 8,,192 199 33 24 503 651 201 308,"['138', '2', '8', '192', '199', '33', '24', '503', '651', '201', '308']","['138', '2', '8']","['138', '2', '8']","['138', '2', '8', '192', '199', '33', '24', '503', '651', '201', '308']"
158,ベランダに足長蜂が巣を作ってしまって怖いのだけど、市に言ったら取ってくれるのかな？,177,,,['177'],['177'],['177'],['177']
159,健康診断等は行っていますか,249 574 302 54 165,804,709 1212 961 609 464,"['249', '574', '302', '54', '165', '804', '709', '1212', '961', '609', '464']","['249', '574', '302', '54', '165', '804']","['249', '574', '302', '54', '165']","['249', '574', '302', '54', '165', '804', '709', '1212', '961', '609', '464']"
160,福祉器具の貸し出しは行っていますか？,,851,,['851'],['851'],[],['851']
161,お花見が出来る大きな公園を教えて欲しいです。,861,,,['861'],['861'],['861'],['861']
162,引っ越してきて大量の段ボールが出てしまったのだけど、普通にゴミに出しても良いのかな？,1784,,,['1784'],['1784'],['1784'],['1784']
163,家族で運動が楽しめる施設を教えて欲しいです。,1569 1262,,965,"['1569', '1262', '965']","['1569', '1262']","['1569', '1262']","['1569', '1262', '965']"
164,災害時の避難場所を教えてください,203 106 130 147 295 312 382,,,"['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']"
165,バスの路線図はどこでもらえますか？,,1291,,['1291'],['1291'],[],['1291']
166,健康診断を受けたいのですが、どうすればいいですか？,774 433 884,165 366 837,465 1212,"['774', '433', '884', '165', '366', '837', '465', '1212']","['774', '433', '884', '165', '366', '837']","['774', '433', '884']","['774', '433', '884', '165', '366', '837', '465', '1212']"
167,国民年金の納付を忘れたんですが、どうしたらいいいですか？,,469,1457,"['469', '1457']",['469'],[],"['469', '1457']"
168,国民健康保険料はどのように決まるのか詳細が知りたいです。,,634 700 1013 997 740 1065 782 964,,"['634', '700', '1013', '997', '740', '1065', '782', '964']","['634', '700', '1013', '997', '740', '1065', '782', '964']",[],"['634', '700', '1013', '997', '740', '1065', '782', '964']"
169,軽自動車税の税率を教えてください,74,,,['74'],['74'],['74'],['74']
170,アウトドアを楽しめる、自然豊かな公園があれば教えて欲しいです。,607,861,1494,"['607', '861', '1494']","['607', '861']",['607'],"['607', '861', '1494']"
171,職業訓練校に通いたいのですが、どこに相談すればいいですか？,933,,,['933'],['933'],['933'],['933']
172,粗大ごみはどうやって出せばいいのですか,1784,210 1391,63,"['1784', '210', '1391', '63']","['1784', '210', '1391']",['1784'],"['1784', '210', '1391', '63']"
173,免許の更新はどこで行えばいいですか？,1745,,,['1745'],['1745'],['1745'],['1745']
174,中身のあるスプレー缶はどのようにして捨てたらよいでしょうか。,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
175,年金の免除申請はどうすればいいのでしょうか？,71 36 87,314 469,,"['71', '36', '87', '314', '469']","['71', '36', '87', '314', '469']","['71', '36', '87']","['71', '36', '87', '314', '469']"
176,結婚の届出に必要な持ち物は何ですか？,,635,,['635'],['635'],[],['635']
177,保育料の減免制度はありますか？,549,941 1340 1281,145 862 1421 1096,"['549', '941', '1340', '1281', '145', '862', '1421', '1096']","['549', '941', '1340', '1281']",['549'],"['549', '941', '1340', '1281', '145', '862', '1421', '1096']"
178,ハチの巣の撤去はお願いできますか,177,,,['177'],['177'],['177'],['177']
179,児童手当の申請方法を教えてください,126 91,,263 222 1757 1765 568 1588 1396,"['126', '91', '263', '222', '1757', '1765', '568', '1588', '1396']","['126', '91']","['126', '91']","['126', '91', '263', '222', '1757', '1765', '568', '1588', '1396']"
180,粗大ごみの出し方はどうすれば良いのでしょうか？,1784,210,63,"['1784', '210', '63']","['1784', '210']",['1784'],"['1784', '210', '63']"
181,鳩が集まってくるのですが駆除できますか,268,838,,"['268', '838']","['268', '838']",['268'],"['268', '838']"
182,亡くなったペットはどうやって処分すればいいのでしょうか？,,1110 1134,,"['1110', '1134']","['1110', '1134']",[],"['1110', '1134']"
183,河川に浮遊ゴミを発見したのですがどうすればいいのでしょうか,,1628,,['1628'],['1628'],[],['1628']
184,婚姻届けはどこへ出せばいいのでしょうか？,,153 952,,"['153', '952']","['153', '952']",[],"['153', '952']"
185,アスベストを調べることはできますか,,1669 1568 1138,1546 1585,"['1669', '1568', '1138', '1546', '1585']","['1669', '1568', '1138']",[],"['1669', '1568', '1138', '1546', '1585']"
186,公園の団体使用はできますか,56,,1029,"['56', '1029']",['56'],['56'],"['56', '1029']"
187,戸籍謄本はどこで手に入りますか？,119 19 1131,386 89,,"['119', '19', '1131', '386', '89']","['119', '19', '1131', '386', '89']","['119', '19', '1131']","['119', '19', '1131', '386', '89']"
188,免除された年金の追加納付はどうすれば良いのでしょうか？,,71,36 314 44 87,"['71', '36', '314', '44', '87']",['71'],[],"['71', '36', '314', '44', '87']"
189,市バスっていくらやったっけ？子どもは何歳から運賃取られるん？,,1291,,['1291'],['1291'],[],['1291']
190,自転車が撤去された場合どうすればいいですか,159 471 173 347,225 254 290,758 710 894,"['159', '471', '173', '347', '225', '254', '290', '758', '710', '894']","['159', '471', '173', '347', '225', '254', '290']","['159', '471', '173', '347']","['159', '471', '173', '347', '225', '254', '290', '758', '710', '894']"
191,放置自転車を撤去してもらえますか,293 1730 723 802,,,"['293', '1730', '723', '802']","['293', '1730', '723', '802']","['293', '1730', '723', '802']","['293', '1730', '723', '802']"
192,運転免許の更新は伊丹と明石の免許更新センター以外にも更新出来る場所はあるんですか？,1745,,,['1745'],['1745'],['1745'],['1745']
193,原付バイクをもらった時の手続きはどうすればいいですか,32,191,,"['32', '191']","['32', '191']",['32'],"['32', '191']"
194,市営住宅に共益費はありますか,,337,856,"['337', '856']",['337'],[],"['337', '856']"
195,自転車買ったら、強制保険加入だったよな？,1587,1045 1630,1108,"['1587', '1045', '1630', '1108']","['1587', '1045', '1630']",['1587'],"['1587', '1045', '1630', '1108']"
196,屋外広告物の設置について教えてください,1388,,,['1388'],['1388'],['1388'],['1388']
197,下水道には何でも流せますか,,1448,,['1448'],['1448'],[],['1448']
198,デイサービスを、利用するのに、必要な手続きを、教えてください。,9,,,['9'],['9'],['9'],['9']
199,セクハラ・パワハラはどこに相談すればいいですか,,285,,['285'],['285'],[],['285']
200,住民票や戸籍簿の自動発行は対応されていますか？,,,213 42,"['213', '42']",[],[],"['213', '42']"
201,起業資金の融資などは受けられますか,251,,,['251'],['251'],['251'],['251']
202,住民税の減免はできますか,,98 79,,"['98', '79']","['98', '79']",[],"['98', '79']"
203,資源ごみの日だけ回収に来ないが、市に連絡すると回収してくれるようになるのか？,,210,63,"['210', '63']",['210'],[],"['210', '63']"
204,税金の二重払いは返金してもらえますか,,699 416,,"['699', '416']","['699', '416']",[],"['699', '416']"
205,危険物・小型ゴミもゴミ袋に入れないと駄目？,1784,,,['1784'],['1784'],['1784'],['1784']
206,地震や台風などの災害時に、市が提供する災害情報のＵＲＬを教えて下さい。,647,578,,"['647', '578']","['647', '578']",['647'],"['647', '578']"
207,高額療養費制度に申請したいのですが、市の窓口と申込み方法を教えて下さい。,,557,,['557'],['557'],[],['557']
208,毎晩夜中になるとバイクがうるさい音を立てて走るので目を覚まします。どこに相談すればいいでしょうか,934 1487,,,"['934', '1487']","['934', '1487']","['934', '1487']","['934', '1487']"
209,放置自転車はどこに連絡したら取りに来てくれますか？,293,802 723 1730,,"['293', '802', '723', '1730']","['293', '802', '723', '1730']",['293'],"['293', '802', '723', '1730']"
210,公立中学に通う子どもがいじめにあっているようなのですが、いじめを理由に転校することは可能なのでしょうか？,,221 340 881,406,"['221', '340', '881', '406']","['221', '340', '881']",[],"['221', '340', '881', '406']"
211,住民票の発行は日曜日もできるの？,213 42 150,,,"['213', '42', '150']","['213', '42', '150']","['213', '42', '150']","['213', '42', '150']"
212,大型ゴミの出し方を教えて下さい。,1784,,,['1784'],['1784'],['1784'],['1784']
213,海外転勤が決まりました。市民税の支払いはどうしたら良いでしょうか？,385,563 543 980 88,,"['385', '563', '543', '980', '88']","['385', '563', '543', '980', '88']",['385'],"['385', '563', '543', '980', '88']"
214,広報がうちに来ていませんが。,747,,,['747'],['747'],['747'],['747']
215,戸籍謄本の届出は日曜日でもできるの？,153 635 952,,42 386,"['153', '635', '952', '42', '386']","['153', '635', '952']","['153', '635', '952']","['153', '635', '952', '42', '386']"
216,ペットが行方不明になったときは？,1670,,,['1670'],['1670'],['1670'],['1670']
217,育児手当は何歳まで支給される？,742 1665,,1588,"['742', '1665', '1588']","['742', '1665']","['742', '1665']","['742', '1665', '1588']"
218,住民票が必要ですが、時間外とか土日に取ることは出来ますか？,213 150,,517,"['213', '150', '517']","['213', '150']","['213', '150']","['213', '150', '517']"
219,ペットボトルの飲み口周りのプラスチックはつけたままゴミに出してもいいんですか？,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
220,放置自転車を撤去してもらうにはどうすればいいですか？,293,1730,802 723,"['293', '1730', '802', '723']","['293', '1730']",['293'],"['293', '1730', '802', '723']"
221,戸籍謄本をとれば家族全員を証明することができるんやろか？,386,,119 883,"['386', '119', '883']",['386'],['386'],"['386', '119', '883']"
222,最近引っ越しをしたが選挙はどこで投票すればよいか。,982 494 457,1292,,"['982', '494', '457', '1292']","['982', '494', '457', '1292']","['982', '494', '457']","['982', '494', '457', '1292']"
223,悪質な訪問販売に困っているのですが、どうすればよいですか？,163,353,,"['163', '353']","['163', '353']",['163'],"['163', '353']"
224,生活苦の場合、お金を貸してくれると聞いたのですがどこに行けば良いのですか？,243 298,,,"['243', '298']","['243', '298']","['243', '298']","['243', '298']"
225,入籍届の届出は日曜日でもできるの？,635 952 153,,42,"['635', '952', '153', '42']","['635', '952', '153']","['635', '952', '153']","['635', '952', '153', '42']"
226,近所の雑木林から害虫が出てくるけど、どうしたらいい？,1117 727,1594 995 1326 1612,,"['1117', '727', '1594', '995', '1326', '1612']","['1117', '727', '1594', '995', '1326', '1612']","['1117', '727']","['1117', '727', '1594', '995', '1326', '1612']"
227,引っ越すので大きなごみが出ます。車があるのですがどこにもって行けばいいでしょうか,1391,,,['1391'],['1391'],['1391'],['1391']
228,町内でイベントやりたいんやけどどこに言うたらええんかな？,,267 56,1029,"['267', '56', '1029']","['267', '56']",[],"['267', '56', '1029']"
229,賃貸マンションのベランダで巨大なスズメバチの巣が発見された場合、どうしたら良いのでしょうか？,177,,,['177'],['177'],['177'],['177']
230,市の条例や規則はどこで確認できますか？,,993 1403 43 1386,,"['993', '1403', '43', '1386']","['993', '1403', '43', '1386']",[],"['993', '1403', '43', '1386']"
231,離婚届の届出は日曜日でもできるの？,635 952 153,,42,"['635', '952', '153', '42']","['635', '952', '153']","['635', '952', '153']","['635', '952', '153', '42']"
232,役所に訪れた時、とても嫌な気持ちになる職員さんがいる場合、対応する職員さんの変更や指名はできますか？,,1688,,['1688'],['1688'],[],['1688']
233,確定申告はどこでやっているの？,,1136 348 133,339 325,"['1136', '348', '133', '339', '325']","['1136', '348', '133']",[],"['1136', '348', '133', '339', '325']"
234,夜、暗い道路があるのですが電灯をつけてもらえますか。,1602 1062,1170,,"['1602', '1062', '1170']","['1602', '1062', '1170']","['1602', '1062']","['1602', '1062', '1170']"
235,母が認知症の診断を受けました。どのようなサポートを受けることができますか？,1157,1264 1073 1376,,"['1157', '1264', '1073', '1376']","['1157', '1264', '1073', '1376']",['1157'],"['1157', '1264', '1073', '1376']"
236,家庭ゴミを処理場に自分で持っていっても大丈夫ですか？,1391,,,['1391'],['1391'],['1391'],['1391']
237,お店開業するんやけどどこで何を申請したらええんかな？,1248,1058,,"['1248', '1058']","['1248', '1058']",['1248'],"['1248', '1058']"
238,セアカゴケグモを見つけたら報告は必要でしょうか？,,1612 1594 1326,1531 1117,"['1612', '1594', '1326', '1531', '1117']","['1612', '1594', '1326']",[],"['1612', '1594', '1326', '1531', '1117']"
239,楽器の練習に使える場所はありませんか？安くて長く使えるところがいいです。,,252,,['252'],['252'],[],['252']
240,動物の死骸が近所の道にあって困っているが対応して貰えないのか,511,,,['511'],['511'],['511'],['511']
241,市役所の窓口サービスについて知りたいんやけど？,,,42 213 153,"['42', '213', '153']",[],[],"['42', '213', '153']"
242,横断歩道や歩道橋を付けて欲しい場所があるのだけどお願いできるの？,1084,,,['1084'],['1084'],['1084'],['1084']
243,隣の空き家の雑草が伸びで我が家の敷地に入ってきているのでどうにかしてほしい。,1296,,,['1296'],['1296'],['1296'],['1296']
244,不審者情報とかを知ることはできますか？,,1753,,['1753'],['1753'],[],['1753']
245,公園でボール遊びができないので、他に遊べる場所はないの？,,94,,['94'],['94'],[],['94']
246,道路がひどい状態になっているのですが工事してもらえるのですか。,,1746,,['1746'],['1746'],[],['1746']
247,隣人の出したごみが、我が家の敷地に入ってきたときは？,1120,,,['1120'],['1120'],['1120'],['1120']
248,障碍者理解のための勉強会などは実施していますか？,,1235,,['1235'],['1235'],[],['1235']
249,ペットが逃げてしまったのですが、どうすればよいですか。,1670,1134,,"['1670', '1134']","['1670', '1134']",['1670'],"['1670', '1134']"
250,市議会議員に立候補したいんやけどどこに言うたらええんかな？,,453,,['453'],['453'],[],['453']
251,育児相談にのって貰いたいんだけどどうすればいい？,162,516 631,,"['162', '516', '631']","['162', '516', '631']",['162'],"['162', '516', '631']"
252,災害時の避難場所を知りたんですけど。,382 147 203 312 130 295 106,,,"['382', '147', '203', '312', '130', '295', '106']","['382', '147', '203', '312', '130', '295', '106']","['382', '147', '203', '312', '130', '295', '106']","['382', '147', '203', '312', '130', '295', '106']"
253,身体障害者手帳の申請方法について教えてほしいんやけど。,,236,,['236'],['236'],[],['236']
254,スプレー缶ってどうやって捨てればいいのでしょうか？,,63,,['63'],['63'],[],['63']
255,児童手当の支給月は何月ですか？,91,1765 1757 1588 380 222,742 568 1665,"['91', '1765', '1757', '1588', '380', '222', '742', '568', '1665']","['91', '1765', '1757', '1588', '380', '222']",['91'],"['91', '1765', '1757', '1588', '380', '222', '742', '568', '1665']"
256,マイナンバーカードの手続きについて教えてください。,,692,576 902 987 969,"['692', '576', '902', '987', '969']",['692'],[],"['692', '576', '902', '987', '969']"
257,産後の手続きについて。どこまで何を自分でやらなければいけない？,1175 831,368 57,,"['1175', '831', '368', '57']","['1175', '831', '368', '57']","['1175', '831']","['1175', '831', '368', '57']"
258,公営住宅の申込資格はどうなっていますか？,172 50,,337,"['172', '50', '337']","['172', '50']","['172', '50']","['172', '50', '337']"
259,手術をして医療費が高くかかってしまったのですが、何か助成はありますか？,557,,,['557'],['557'],['557'],['557']
260,市営図書館でのイベントを教えてください,1683,,,['1683'],['1683'],['1683'],['1683']
261,道路に動物の死がいがあるのですが、どこに連絡すればよいですか。,,511,,['511'],['511'],[],['511']
262,キャッチボールのできる公園はありますか,,94,,['94'],['94'],[],['94']
263,ボランティアしたいんやけどどこに問い合わせしたらええんかな？,230,734 1057,,"['230', '734', '1057']","['230', '734', '1057']",['230'],"['230', '734', '1057']"
264,ラーメンの残り汁は、流し台とトイレとどっちに流したらいいですか？,,1448,,['1448'],['1448'],[],['1448']
265,災害時に車で避難してもいいんやろか？,,578,174,"['578', '174']",['578'],[],"['578', '174']"
266,はしかは流行していますか？,,,876,['876'],[],[],['876']
267,粗大ゴミを出したいのですが、手続き方法を教えてもらえますか？,1784,1391,,"['1784', '1391']","['1784', '1391']",['1784'],"['1784', '1391']"
268,側溝にゴミが詰まって水が溢れているのでどうにかしてほしい。,1672,,,['1672'],['1672'],['1672'],['1672']
269,保育園に入れたいけれど、手続きはどこでどうすればいい？,966,908 674 873 660 1445,1225 1186,"['966', '908', '674', '873', '660', '1445', '1225', '1186']","['966', '908', '674', '873', '660', '1445']",['966'],"['966', '908', '674', '873', '660', '1445', '1225', '1186']"
270,市役所の駐車場はあるんやろか？,487 499,1066,,"['487', '499', '1066']","['487', '499', '1066']","['487', '499']","['487', '499', '1066']"
271,住民税の振込用紙を紛失しました。,1495,,735,"['1495', '735']",['1495'],['1495'],"['1495', '735']"
272,子供の教育について相談したいのですがどこに行けばいいでしょうか,221 340,,,"['221', '340']","['221', '340']","['221', '340']","['221', '340']"
273,免許証の返納はどこに申し出ればいいですか？,,,1745,['1745'],[],[],['1745']
274,道が暗くてこわいので、街灯を設置してほしいのですけど。,1602 1062,,1170 1050,"['1602', '1062', '1170', '1050']","['1602', '1062']","['1602', '1062']","['1602', '1062', '1170', '1050']"
275,痴呆の親が暴れだして収集付かなくなったときは？,,1157,1264,"['1157', '1264']",['1157'],[],"['1157', '1264']"
276,育児の相談は無料でして貰える？,,162 631,,"['162', '631']","['162', '631']",[],"['162', '631']"
277,災害時自動配信メールのようなものはありますか。,647,,,['647'],['647'],['647'],['647']
278,引っ越しの手続きって何をしたらええんかな？,8 138 2,204,192 199 24 33 651,"['8', '138', '2', '204', '192', '199', '24', '33', '651']","['8', '138', '2', '204']","['8', '138', '2']","['8', '138', '2', '204', '192', '199', '24', '33', '651']"
279,家庭菜園を初めたいのですが、庭がありません。土地を貸してくれるところはありますか？,315 316,,,"['315', '316']","['315', '316']","['315', '316']","['315', '316']"
280,市役所休業日について知りたいんやけど？,153,,,['153'],['153'],['153'],['153']
281,高齢者の予防接種の補助金の申請手続きをしたいがどうすればよいか。,696 328 606,352 239 1659 598 1004 592,588 289 613,"['696', '328', '606', '352', '239', '1659', '598', '1004', '592', '588', '289', '613']","['696', '328', '606', '352', '239', '1659', '598', '1004', '592']","['696', '328', '606']","['696', '328', '606', '352', '239', '1659', '598', '1004', '592', '588', '289', '613']"
282,犬を飼う時はどんな手続きが必要ですか？,514 1499,1134 503,1110,"['514', '1499', '1134', '503', '1110']","['514', '1499', '1134', '503']","['514', '1499']","['514', '1499', '1134', '503', '1110']"
283,近くの避難場所がわからないときは？,203 106 130 147 295 312 382,,,"['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']","['203', '106', '130', '147', '295', '312', '382']"
284,育児について助産師の訪問はしてもらえるの？,516 110,361,,"['516', '110', '361']","['516', '110', '361']","['516', '110']","['516', '110', '361']"
285,ヘアアイロンを捨てたいのですが、市のごみとして出せますか？,1784,,,['1784'],['1784'],['1784'],['1784']
286,要介護認定を受けたんやけど、介護サービスを利用するためにはどうしたらいいんやったかな？,9,108,69 132,"['9', '108', '69', '132']","['9', '108']",['9'],"['9', '108', '69', '132']"
287,保育所探したいんやけど。,966,660 790,908 674,"['966', '660', '790', '908', '674']","['966', '660', '790']",['966'],"['966', '660', '790', '908', '674']"
288,子供の通学路にスズメバチの巣があり不安です。駆除してもらえるのでしょうか？,177 1117,1293,727 1594,"['177', '1117', '1293', '727', '1594']","['177', '1117', '1293']","['177', '1117']","['177', '1117', '1293', '727', '1594']"
289,引っ越しをしたので運転免許証の住所を書き換えたいのですが、手続きを行ってくれる管轄の警察署はどうやったら調べることができますか？,,1745,,['1745'],['1745'],[],['1745']
290,印鑑登録証がなくても印鑑登録証明書の発行はしてくれるんやろか。,529,1597,,"['529', '1597']","['529', '1597']",['529'],"['529', '1597']"
291,こども食堂はありますか？,,111 1434,,"['111', '1434']","['111', '1434']",[],"['111', '1434']"
292,子どもが弱視です。眼鏡が必要なのですが、それに対して何か金銭的なサポートはありますか？,665,,364,"['665', '364']",['665'],['665'],"['665', '364']"
293,年金の支払いの仕方がわからへん。,,194 314 985,143,"['194', '314', '985', '143']","['194', '314', '985']",[],"['194', '314', '985', '143']"
294,ペットボトルのキャップじゃなくてキャップと分離してペットボトル本体に残ってるリング状のプラスティックの分別方法,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
295,子供を隣の校区の小学校に通わせたいので手続きの方法を教えてほしい。,221,,,['221'],['221'],['221'],['221']
296,自分のマイナンバーがわかりません。どうやったら調べることができますか？,,1400 692 576,1269 1182,"['1400', '692', '576', '1269', '1182']","['1400', '692', '576']",[],"['1400', '692', '576', '1269', '1182']"
297,戸籍や住民票は親族やったら請求できるんですか？,,558 444 19 62 517,,"['558', '444', '19', '62', '517']","['558', '444', '19', '62', '517']",[],"['558', '444', '19', '62', '517']"
298,ゴミ出しする場合、スーパーのレジ袋などを使って出してもかまいませんか？,1784,1391,,"['1784', '1391']","['1784', '1391']",['1784'],"['1784', '1391']"
299,休日に住民票などの各種証明書を発行してもらうことはできますか？,213 42,150,89,"['213', '42', '150', '89']","['213', '42', '150']","['213', '42']","['213', '42', '150', '89']"
300,川沿いに住んでますがこの季節蛾が大量発生しています、どうしたら家の周りに集まらないですか？,,727 1326 1612,,"['727', '1326', '1612']","['727', '1326', '1612']",[],"['727', '1326', '1612']"
301,国民年金に未納期間があるようですが過去の分も支払えますか？,,,985,['985'],[],[],['985']
302,美容師なんですが練習後の人形のゴミの出し方が分かりません,1784,1391 978,,"['1784', '1391', '978']","['1784', '1391', '978']",['1784'],"['1784', '1391', '978']"
303,現在社会保険に加入している父がもうすぐ退職します。国民健康保険に切り替えるにはどうしたら良いでしょうか？,114,,,['114'],['114'],['114'],['114']
304,引きこもりの子供のことを相談したい。,1294,881,,"['1294', '881']","['1294', '881']",['1294'],"['1294', '881']"
305,缶をゴミで出すときって洗剤で洗ってゴミに出すの？,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
306,粗大ごみを出す場所ってどこですか。,1784,210,,"['1784', '210']","['1784', '210']",['1784'],"['1784', '210']"
307,割れたビンは燃えないゴミですか？,1784 1784,63,,"['1784', '1784', '63']","['1784', '1784', '63']","['1784', '1784']","['1784', '1784', '63']"
308,母子手帳を再交付してほしいのだけど、どうしたらいい？,659,,733 370 306 716,"['659', '733', '370', '306', '716']",['659'],['659'],"['659', '733', '370', '306', '716']"
309,妊活をしていますが、補助など受けることができるのでしょうか。,11,,,['11'],['11'],['11'],['11']
310,道の街路樹が大きく育ちすぎて危険、処理して貰えないか,1273 425,,420 1185,"['1273', '425', '420', '1185']","['1273', '425']","['1273', '425']","['1273', '425', '420', '1185']"
311,近所の道路に路上駐車してる車が歩行の邪魔なんですけど、何処に言えばいいの？,,1671,,['1671'],['1671'],[],['1671']
312,不妊治療を受けるので助成金の手続きをしたいのですが、何を提出すれば良いのでしょうか？,11,,,['11'],['11'],['11'],['11']
313,近くの植え込みに蜂の巣があるんですが駆除して欲しいんですけど？,177,1117,727 1594,"['177', '1117', '727', '1594']","['177', '1117']",['177'],"['177', '1117', '727', '1594']"
